tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0206831,0.601362,4399.64,-3875.37,85.1089,765.222,0.0419872,0.743175,0.00456148
0.0203627,0.567035,4399.64,-3875.53,84.0402,770.432,0.0427415,0.683228,0.00313333
0.0204159,0.597036,4399.64,-3875.47,84.2188,766.073,0.0418455,0.745443,0.00473294
0.0206973,0.597535,4399.63,-3875.47,85.4744,765.046,0.0418103,0.739689,0.00445876
0.0207101,0.599654,4399.63,-3875.48,85.3882,765.654,0.0417886,0.729883,0.00402495
0.0205193,0.567678,4399.63,-3875.6,83.82,770.667,0.0429249,0.68828,0.00353712
0.0200219,0.589557,4399.66,-3875.54,83.2084,770.162,0.0428622,0.713017,0.00403086
0.0203088,0.592055,4399.64,-3875.39,83.8639,767.255,0.0426566,0.741372,0.00420704
0.0204094,0.596891,4399.64,-3875.41,84.1891,767.16,0.04221,0.732437,0.003799
0.0203549,0.566827,4399.64,-3875.43,84.177,770.869,0.042918,0.673701,0.00360371
0.0206994,0.584114,4399.63,-3875.6,85.8161,767.289,0.0421226,0.702539,0.0032651
0.0207107,0.580916,4399.63,-3875.45,85.6503,767.333,0.0421877,0.704985,0.00352157
0.0206185,0.594462,4399.63,-3875.62,85.738,765.377,0.0418299,0.729503,0.00408487
0.0204468,0.567422,4399.64,-3875.54,84.0814,770.573,0.0428152,0.679678,0.00315324
0.0203699,0.596219,4399.64,-3875.44,84.0854,767.835,0.0425056,0.727623,0.00370755
0.0201348,0.586966,4399.65,-3875.54,83.6815,768.715,0.0429407,0.728435,0.00426112
0.0207332,0.585635,4399.63,-3875.58,85.3396,767.764,0.0422234,0.704378,0.00360029
0.0202768,0.587803,4399.64,-3875.61,83.0997,769.313,0.0427331,0.727797,0.00398225
0.0203745,0.595591,4399.64,-3875.56,84.0848,767.097,0.0427576,0.741462,0.00431806
0.0208606,0.578835,4399.62,-3875.39,85.7802,767.514,0.0420604,0.699967,0.00380544
0.0200768,0.576292,4399.65,-3875.49,83.2059,770.689,0.0428642,0.704359,0.00343471
0.0203553,0.609181,4399.64,-3875.56,84.33,765.092,0.0423864,0.763405,0.00457625
0.020348,0.584019,4399.64,-3875.43,84.2165,768.885,0.0425,0.710081,0.00384015
0.0206945,0.581375,4399.63,-3875.51,84.9262,767.743,0.0421099,0.710137,0.00345305
0.0203738,0.589714,4399.64,-3875.62,84.5639,767.916,0.0419589,0.712579,0.00396853
0.0205377,0.611973,4399.63,-3875.45,84.8246,764.631,0.0423808,0.764787,0.00446227
0.0205462,0.595944,4399.63,-3875.39,84.5751,765.839,0.041713,0.739966,0.00438224
0.0207247,0.573225,4399.63,-3875.41,85.3343,768.821,0.0423131,0.686282,0.00330289
0.0202898,0.573895,4399.64,-3875.55,83.9571,770.675,0.0430495,0.688083,0.00349837
0.0203465,0.601009,4399.64,-3875.44,83.9477,766.976,0.0422426,0.740686,0.00420831
0.0202257,0.594151,4399.64,-3875.41,83.1434,768.333,0.0427399,0.742148,0.0044894
0.0205659,0.587757,4399.63,-3875.52,84.7795,767.297,0.0424763,0.72357,0.00392274
0.0208177,0.592336,4399.62,-3875.46,85.8544,765.43,0.0422518,0.731077,0.00398685
0.020266,0.580036,4399.65,-3875.4,83.044,769.936,0.0426317,0.715833,0.00368672
0.0205268,0.572157,4399.63,-3875.44,84.4342,769.646,0.0425721,0.691018,0.00353423
0.0202858,0.590986,4399.64,-3875.4,83.8968,767.636,0.0425173,0.735026,0.00445148
0.0203393,0.610738,4399.64,-3875.4,84.2859,764.82,0.0419736,0.767245,0.00478567
0.0207614,0.603249,4399.62,-3875.47,85.5189,765.597,0.0422537,0.734075,0.00435666
0.0205686,0.590789,4399.63,-3875.37,84.5296,767.131,0.0423671,0.729213,0.00376922
0.0207753,0.582202,4399.62,-3875.52,85.3876,767.203,0.0421452,0.712614,0.00392589
0.020483,0.594529,4399.64,-3875.54,84.2774,766.199,0.0425947,0.750143,0.00458939
0.0202996,0.601375,4399.64,-3875.4,83.7073,767.204,0.0426825,0.747212,0.004357
0.0208136,0.596314,4399.62,-3875.54,85.324,764.498,0.0416444,0.74711,0.00397808
0.0202432,0.57502,4399.65,-3875.42,83.4936,770.68,0.0427925,0.69458,0.00391562
0.0206131,0.573541,4399.63,-3875.61,85.6258,768.06,0.0420264,0.691803,0.00351125
0.0205873,0.580843,4399.63,-3875.5,85.2666,767.852,0.0423311,0.704088,0.00377568
0.0206487,0.574824,4399.63,-3875.45,85.3184,768.5,0.0420681,0.689092,0.00349315
0.0204633,0.566115,4399.64,-3875.62,83.7382,770.803,0.0427358,0.681189,0.00332496
